taxonomy,P18,W3,W64,Y14,Y17,Y18,Y25,Y41,Y52,Y70,Y7
Picobirnavirus,1452876,251190,654409,85264,202767,196455,274858,33823,151392,178174,207288
Picornavirales,12007,148,173,168,1593,3024,1107,211,1215,534,436
Picornaviridae,43,4,0,23,8,4,2,0,20,0,6
Pipoluvirus,0,0,0,0,0,0,0,0,0,0,1193
Plateaulakevirus,0,0,0,0,0,360,0,0,218,0,0
Polerovirus,199,20,49,36,110,96,603,24,41,38,34
Potexvirus,445,6,10,26,149,8,68,6,16,30,16
Potyvirus,426,8,46,103,99,67,211,0,18,10,30
Przondovirus,0,0,0,0,0,0,0,0,21,0,0
Reovirales,582,44,89,179,89,189,488,16,78,66,104
Retroviridae,2,6,13,338,24,77,0,33,2,0,157
Rhabdoviridae,0,2,2,0,2,10,2,0,14,0,0
Rheavirus,0,3,4,4,0,46,0,0,73,0,28
Myoviridae,79442,24697,65829,91695,1281894,87766,76931,35726,70290,89243,60583
Podoviridae,3723,15130,16565,4366,135623,2672,8973,7669,52561,43928,41565
Siphoviridae,67515,93601,55370,65078,57098,83356,289191,177289,110512,137869,234051
Unclassified Caudoviricetes,3911714,2450327,1968532,1764372,4013829,2053677,2584156,1819628,3152174,2247995,3868894
Unclassified Cressdnaviricota,64,486,430,34715,12,312,0,5,499,41,12
Unclassified Riboviria,19716,3425,4267,2666,17834,5939,20372,3821,17319,19834,26434
Unclassified bacterial viruses,599816,547102,457400,831199,3975270,278466,933038,524930,1113801,1189261,1654461
Unclassified viruses,11959,2042,7920,646,537,417,2292,7055,1378,936,786
Rountreeviridae,0,0,15,0,0,0,0,0,0,442,0
Rymovirus,12,10,4,8,10,4,2,2,2,6,6
Salasvirus,0,93,0,0,0,0,0,0,0,0,0
Samistivirus,0,0,0,0,8,14,3,0,0,0,0
Scapunavirus,0,0,0,0,0,0,0,0,0,0,287
Schiekvirus,115,36,151,48,89,58,0,10,28,0,77
Schizotequatrovirus,0,56,5674,0,0,2,0,0,1369,0,3007
Sepunavirus,66,0,0,0,13,0,0,0,42,0,0
Sextaecvirus,56,5980,1533,0,0,0,0,0,38,0,6
Shihwivirus,0,0,334,12,0,200,105,0,0,0,0
Shirahamavirus,0,127,2,2380,247,2,0,20,129,35,1214
Sieqvirus,0,0,0,0,44,0,0,0,0,0,0
Silviavirus,0,0,0,0,0,0,0,0,29,0,0
Siminovitchvirus,0,0,4,0,0,0,3,0,4,0,0
Sinaivirus,578,259,956,78,382,251,17,461,313,1374,281
Siophivirus,0,0,0,0,0,0,0,0,0,0,25
Skunavirus,0,0,0,0,0,0,0,0,0,0,18
Sobemovirus,380215,84594,82483,93696,185901,57546,190309,82075,83225,213872,55354
Sophritavirus,0,41,0,0,27,0,0,0,0,0,0
Soupsvirus,289,0,0,0,0,0,0,0,0,0,0
Statovirus,123,20,184,5309,0,165,6,6,1991,1011,1893
Steigviridae,0,0,0,16,0,6,10,70,0,8,0
Takahashivirus,134511,122299,52725,4682,18185,65691,318,1898,25723,56212,51200
